Sexe;Age;Statut;Occupation;Qualification;Etudie;NombreFS;NombreE;Jardinage;Cuisine;Sport;MinutesTV;LectureBD;MinutesL;EcouteRP;JournalIntime;Taille
F;60;Marie;Autre inactif;Cadre;Non;3;1;Non;Non;Oui;120;Non;0;Non;Non;Comme il faut
H;50;Marie;Exerce profession;Non concerne;Non;3;3;Oui;Non;Oui;257,14;Non;0;Non;Non;Comme il faut
F;33;Marie;Exerce profession;Cadre;Non;0;1;Non;Non;Non;51,43;Non;60;Non;Oui;Pas assez
H;82;Marie;Retraite;Non concerne;Non;1;2;Non;Non;Oui;60;Non;0;Non;Oui;Comme il faut
H;58;Marie;Exerce profession;Employe de bureau;Non;0;3;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;53;Marie;Exerce profession;Ouvrier qualifie;Non;8;2;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;39;Marie;Exerce profession;Employe de bureau;Non;6;3;Non;Non;Oui;180;Non;0;Non;Non;Comme il faut
H;22;Celibataire;Etudiant;Non concerne;formation initiale;5;0;Non;Non;Non;0;Non;0;Non;Non;Trop
F;37;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Non;Oui;60;Non;0;Non;Non;Comme il faut
F;26;Celibataire;Exerce profession;Employe de bureau;Non;4;0;Oui;Non;Non;60;Non;0;Non;Non;Pas assez
F;25;Celibataire;Exerce profession;Employe de bureau;Non;1;0;Non;Non;Oui;0;Non;120;Non;Non;Pas assez
F;78;Divorce;Retraite;Cadre;Non;0;3;Non;Non;Non;120;Non;180;Non;Non;Pas assez
F;40;Marie;Exerce profession;Employe de bureau;Non;6;0;Non;Non;Oui;180;Oui;120;Non;Non;Comme il faut
F;23;Celibataire;Etudiant;Non concerne;formation initiale;0;0;Non;Oui;Oui;0;Non;0;Non;Non;Comme il faut
F;72;Divorce;Retraite;Non concerne;Non;1;1;Oui;Non;Non;300;Non;0;Non;Non;Comme il faut
F;49;Marie;Exerce profession;Employe de bureau;Non;1;1;Non;Non;Non;180;Non;60;Non;Non;Comme il faut
H;61;Celibataire;Exerce profession;Non concerne;Non;3;0;Non;Non;Oui;120;Non;0;Non;Non;Comme il faut
F;47;Marie;Exerce profession;Employe de bureau;Non;7;3;Non;Non;Non;60;Non;0;Non;Non;Comme il faut
H;73;Marie;Retraite;Profession intermediaire;Non;1;2;Non;Non;Non;180;Non;0;Non;Oui;Comme il faut
H;27;Celibataire;Chomeur;Cadre;Non;0;0;Non;Non;Oui;60;Non;0;Non;Non;Pas assez
H;52;Marie;Exerce profession;Cadre;Non;1;2;Non;Oui;Oui;120;Non;0;Non;Non;Comme il faut
H;54;Marie;Exerce profession;Employe de bureau;Non;3;2;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;31;Celibataire;Chomeur;Cadre;Non;0;0;Non;Oui;Oui;6;Oui;300;Non;Non;Comme il faut
F;27;Celibataire;Exerce profession;Cadre;Non;4;0;Non;Oui;Oui;34,29;Non;0;Non;Oui;Comme il faut
F;75;Divorce;Exerce profession;Non concerne;Non;0;0;Non;Non;Oui;0;Non;0;Non;Non;Pas assez
F;43;Celibataire;Exerce profession;Employe de bureau;Non;3;0;Non;Non;Oui;0;Non;0;Non;Non;Comme il faut
H;23;Celibataire;Exerce profession;Non concerne;Non;3;0;Oui;Oui;Non;0;Non;0;Oui;Non;Comme il faut
F;54;Marie;Exerce profession;Cadre;Non;2;2;Non;Non;Oui;120;Oui;85,71;Non;Non;Comme il faut
H;44;Celibataire;Exerce profession;Cadre;Non;3;0;Oui;Non;Non;120;Non;0;Non;Oui;Comme il faut
F;27;Celibataire;Exerce profession;Cadre;Non;1;0;Non;Oui;Non;17,14;Non;60;Non;Oui;Pas assez
H;56;Marie;Autre inactif;Non concerne;Non;3;1;Non;Oui;Non;240;Non;120;Non;Oui;Pas assez
F;37;Marie;Exerce profession;Non concerne;Non;5;2;Non;Oui;Oui;85,71;Oui;85,71;Non;Oui;Comme il faut
F;48;Celibataire;Chomeur;Cadre;Non;5;0;Non;Oui;Non;120;Non;34,29;Non;Non;Pas assez
H;45;Marie;Exerce profession;Autre;Non;1;5;Non;Non;Non;8,57;Oui;60;Non;Oui;Comme il faut
F;28;Celibataire;Exerce profession;Cadre;Non;2;0;Non;Oui;Oui;120;Oui;120;Non;Non;Comme il faut
H;30;Celibataire;Exerce profession;Cadre;Non;2;0;Non;Non;Oui;120;Non;42,86;Non;Non;Comme il faut
H;40;Marie;Exerce profession;Cadre;Non;4;2;Non;Oui;Non;6;Oui;120;Non;Oui;Comme il faut
F;75;Marie;Retraite;Employe de bureau;Non;0;1;Non;Non;Non;180;Non;180;Non;Non;Pas assez
H;21;Celibataire;Exerce profession;Ouvrier qualifie;Non;2;0;Non;Non;Non;120;Non;0;Oui;Non;Comme il faut
